locus_tag	ftype	length_bp	gene	EC_number	COG	product
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00023	CDS	795	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00024	CDS	1143	ssuD	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00025	CDS	1023	ssuA_1			Putative aliphatic sulfonates-binding protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00026	CDS	903	cynR_1			HTH-type transcriptional regulator CynR
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00027	CDS	1230				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00028	CDS	939				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00029	CDS	777	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00030	CDS	771	ssuC_2		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00031	CDS	921	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00032	CDS	951		3.5.4.2	COG1816	Adenine deaminase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00033	CDS	312				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00034	CDS	735				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00035	CDS	480	hcpA_1		COG3157	Major exported protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00036	CDS	210				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00037	CDS	168				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00038	CDS	1209				IS256 family transposase ISEc39
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00039	CDS	270				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00040	CDS	510				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00041	CDS	738	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00042	CDS	900	dmlR_1			HTH-type transcriptional regulator DmlR
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00043	CDS	258	bhsA_2			Multiple stress resistance protein BhsA
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00044	CDS	360				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00045	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00046	CDS	453	ibpB		COG0071	Small heat shock protein IbpB
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00047	CDS	1413	yflS		COG0471	Putative malate transporter YflS
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00048	CDS	1623	dcuS	2.7.13.3	COG3290	Sensor histidine kinase DcuS
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00049	CDS	312	dcuR_1		COG4565	Transcriptional regulatory protein DcuR
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00050	CDS	423	dcuR_2		COG4565	Transcriptional regulatory protein DcuR
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00051	CDS	558	fldP			Flavodoxin FldP
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00052	CDS	396	hxlR		COG1733	HTH-type transcriptional activator HxlR
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00053	CDS	1344	cimH_1		COG3493	Citrate/malate transporter
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00054	CDS	1608	dppA_1		COG0747	Periplasmic dipeptide transport protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00055	CDS	1020	dppB_2		COG0601	Dipeptide transport system permease protein DppB
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00056	CDS	903	dppC		COG1173	Dipeptide transport system permease protein DppC
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00057	CDS	981	dppD		COG0444	Dipeptide transport ATP-binding protein DppD
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00058	CDS	1011	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00059	CDS	279				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00060	CDS	1386				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00061	CDS	225	symE_1	3.1.-.-		Endoribonuclease SymE
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00062	CDS	357				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00063	CDS	1392				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00064	CDS	369				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00065	CDS	5280	rhsC_1	3.1.-.-	COG3209	Putative deoxyribonuclease RhsC
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00066	CDS	1254	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00067	CDS	1212				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00068	CDS	528	ppa_1	3.6.1.1		Inorganic pyrophosphatase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00069	CDS	1101	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00070	CDS	1752				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00071	CDS	996			COG1840	putative protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00072	CDS	909	dmlR_2			HTH-type transcriptional regulator DmlR
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00073	CDS	912	eamA		COG0697	putative amino-acid metabolite efflux pump
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00074	CDS	1362	yhdG		COG0531	putative amino acid permease YhdG
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00075	CDS	1008	srkA_1	2.7.11.1		Stress response kinase A
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00076	CDS	1059	virS			HTH-type transcriptional regulator VirS
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00077	CDS	1185	pdeK	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeK
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00078	CDS	1293	dctA		COG1301	Aerobic C4-dicarboxylate transport protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00079	CDS	1530	yhjJ		COG0612	Protein YhjJ
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00080	CDS	933	kdgK_1	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00081	CDS	1017	yhjD		COG1295	Inner membrane protein YhjD
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00082	CDS	1203	yhhS			putative MFS-type transporter YhhS
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00083	CDS	702				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00084	CDS	705				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00085	CDS	1995				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00086	CDS	798				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00087	CDS	2028	vgrG1_1	6.3.2.-	COG3501	Actin cross-linking toxin VgrG1
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00088	CDS	567				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00089	CDS	678	yhhQ		COG1738	Queuosine precursor transporter
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00090	CDS	249	tusA		COG0425	Sulfur carrier protein TusA
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00091	CDS	2355	zntA	3.6.3.3	COG2217	Zinc/cadmium/lead-transporting P-type ATPase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00092	CDS	633				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00093	CDS	321				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00094	CDS	279				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00095	CDS	576	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00096	CDS	204				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00097	CDS	1254	ftsY		COG0552	Signal recognition particle receptor FtsY
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00098	CDS	672	ftsE		COG2884	Cell division ATP-binding protein FtsE
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00099	CDS	996	ftsX		COG2177	Cell division protein FtsX
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00100	CDS	858	rpoH		COG0568	RNA polymerase sigma factor RpoH
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00101	CDS	450	panM			PanD regulatory factor
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00102	CDS	1113	livK		COG0683	Leucine-specific-binding protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00103	CDS	927	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00104	CDS	1275				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00105	CDS	768	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00106	CDS	315	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00107	CDS	303	livF_2		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00108	CDS	1191	lysN	2.6.1.39	COG1167	2-aminoadipate transaminase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00109	CDS	486	rraA		COG0684	Regulator of ribonuclease activity A
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00110	CDS	918	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00111	CDS	1332	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00112	CDS	531	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00113	CDS	729	ftsN		COG3087	Cell division protein FtsN
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00114	CDS	1044	cytR		COG1609	HTH-type transcriptional repressor CytR
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00115	CDS	2199	priA	3.6.4.-	COG1198	Primosomal protein N'
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00116	CDS	216	rpmE		COG0254	50S ribosomal protein L31
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00117	CDS	1011	feuC		COG0609	Iron-uptake system permease protein FeuC
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00118	CDS	963	btuF_1			Vitamin B12-binding protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00119	CDS	798	fhuC_1	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00120	CDS	321	metJ		COG3060	Met repressor
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00121	CDS	1161	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00122	CDS	2436	metL		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 2
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00123	CDS	1158	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00124	CDS	1134				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00125	CDS	840	potB_1		COG1176	Spermidine/putrescine transport system permease protein PotB
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00126	CDS	807	phnV		COG1177	Putative 2-aminoethylphosphonate transport system permease protein PhnV
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00127	CDS	1005	rbsR_1		COG1609	Ribose operon repressor
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00128	CDS	762	cpdA_1	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00129	CDS	930	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00130	CDS	909	oxyR_1			Hydrogen peroxide-inducible genes activator
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00131	CDS	1407	sthA	1.6.1.1	COG1249	Soluble pyridine nucleotide transhydrogenase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00132	CDS	642	fabR		COG1309	HTH-type transcriptional repressor FabR
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00133	CDS	387	yijD			Inner membrane protein YijD
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00134	CDS	1104	trmA	2.1.1.-	COG2265	tRNA/tmRNA (uracil-C(5))-methyltransferase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00135	CDS	1878	btuB_1		COG4206	Vitamin B12 transporter BtuB
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00136	CDS	858	murI	5.1.1.3	COG0796	Glutamate racemase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00137	rRNA	1536				16S ribosomal RNA
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00138	tRNA	76				tRNA-Glu(ttc)
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00139	rRNA	2903				23S ribosomal RNA
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00140	rRNA	111				5S ribosomal RNA
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00141	tRNA	76				tRNA-Thr(ggt)
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00142	rRNA	111				5S ribosomal RNA
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00143	CDS	1356	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00144	CDS	2649	pat_1	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase Pat
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00145	CDS	750				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00146	CDS	420	trxC	1.8.1.8	COG0526	Thioredoxin 2
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00147	CDS	1149	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00148	CDS	1536	emrB			Multidrug export protein EmrB
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00149	CDS	1176	emrA		COG1566	Multidrug export protein EmrA
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00150	CDS	522	mprA		COG1846	Transcriptional repressor MprA
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00151	CDS	330				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00152	CDS	945				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00153	CDS	1221				putative transporter
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00154	CDS	1155	pgl_1	3.1.1.31	COG2706	6-phosphogluconolactonase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00155	CDS	1008	ousX		COG2113	Glycine betaine-binding periplasmic protein OusX
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00156	CDS	1185	ousW		COG4176	Glycine betaine/choline transport system permease protein OusW
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00157	CDS	1203	ousV		COG4175	Glycine betaine/choline transport system ATP-binding protein OusV
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00158	CDS	171				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00159	CDS	387				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00160	CDS	1398	atzE	3.5.1.131		1-carboxybiuret hydrolase subunit AtzE
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00161	CDS	192				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00162	CDS	1587	hpxW	3.5.1.126	COG0405	Oxamate amidohydrolase proenzyme
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00163	CDS	840	hexR_1		COG1737	HTH-type transcriptional regulator HexR
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00164	CDS	1158	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00165	CDS	666	glnM		COG0765	putative glutamine ABC transporter permease protein GlnM
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00166	CDS	657	yecS_1		COG0765	L-cystine transport system permease protein YecS
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00167	CDS	744	glnQ_1			Glutamine transport ATP-binding protein GlnQ
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00168	CDS	1245	pucG	2.6.1.112	COG0075	(S)-ureidoglycine--glyoxylate transaminase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00169	CDS	1266	hyuC	3.5.1.87		N-carbamoyl-L-amino-acid hydrolase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00170	CDS	978	tauA		COG4521	Taurine-binding periplasmic protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00171	CDS	789	tauB_1	7.6.2.7	COG4525	Taurine import ATP-binding protein TauB
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00172	CDS	828	ssuC_3		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00173	CDS	1329	bauA	2.6.1.18	COG0161	Beta-alanine--pyruvate aminotransferase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00174	CDS	972	ssuA_2			Putative aliphatic sulfonates-binding protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00175	CDS	2481	pflD	4.2.1.172	COG1882	Trans-4-hydroxy-L-proline dehydratase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00176	CDS	924	cutD	1.97.1.-	COG1180	Choline trimethylamine-lyase activating enzyme
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00177	CDS	768	yafV	3.5.1.3		Omega-amidase YafV
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00178	CDS	1185	ybdL	2.6.1.88	COG0436	Methionine aminotransferase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00179	CDS	1197	prsE_1			Type I secretion system membrane fusion protein PrsE
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00180	CDS	2193	btuD_4	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00181	CDS	1425				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00182	CDS	10557				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00183	CDS	780	map_1	3.4.11.18	COG0024	Methionine aminopeptidase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00184	CDS	219				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00185	CDS	339	raiA		COG1544	Ribosome-associated inhibitor A
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00186	CDS	735	bamD		COG4105	Outer membrane protein assembly factor BamD
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00187	CDS	966	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00188	CDS	726	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00189	CDS	2577	clpB		COG0542	Chaperone protein ClpB
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00190	rRNA	1536				16S ribosomal RNA
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00191	tRNA	77				tRNA-Ile(gat)
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00192	tRNA	76				tRNA-Ala(tgc)
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00193	rRNA	2903				23S ribosomal RNA
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00194	rRNA	111				5S ribosomal RNA
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00195	tRNA	77				tRNA-Asp(gtc)
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00196	tRNA	76				tRNA-Trp(cca)
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00197	CDS	762	glnQ_2			Glutamine transport ATP-binding protein GlnQ
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00198	CDS	1095	yhdY		COG0765	Inner membrane amino-acid ABC transporter permease protein YhdY
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00199	CDS	1179				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00200	CDS	1026	yhdW			Putative amino-acid ABC transporter-binding protein YhdW
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00201	CDS	666	tcyB_1		COG0765	L-cystine transport system permease protein TcyB
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00202	CDS	768			COG0834	putative amino-acid ABC transporter-binding protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00203	CDS	777	ycdF	1.1.1.47	COG1028	Glucose 1-dehydrogenase 2
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00204	CDS	258				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00205	CDS	297	fis		COG2901	DNA-binding protein Fis
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00206	CDS	918	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00207	CDS	888	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00208	CDS	1452	panF		COG4145	Sodium/pantothenate symporter
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00209	CDS	243	yhdT		COG3924	putative membrane protein YhdT
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00210	CDS	1350	atzA	3.8.1.8		Atrazine chlorohydrolase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00211	CDS	1362				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00212	CDS	720				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00213	CDS	1344	accC	6.3.4.14	COG0439	Biotin carboxylase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00214	CDS	471	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00215	CDS	453	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00216	CDS	600	msrQ		COG2717	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00217	CDS	1002	msrP	1.8.5.-	COG2041	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00218	CDS	978	acuI	1.3.1.84	COG0604	putative acrylyl-CoA reductase AcuI
